Depth_m,Density_g_cm3,Vp_m_s,Vs_m_s,Bulk_Modulus_GPa,Shear_Modulus_GPa,Youngs_Modulus_GPa,Poissons_Ratio,Gamma_Ray_gAPI,Neutron_Porosity_pu
2552.7762,2.5185,4.517663798661597,2.3965429396335365,3.2114389438460285e-05,1.4464798387906267e-05,3.772971963646985e-05,0.304190996122522,54.4718,34.3413
2552.8524,2.5008,4.517663798661597,2.3965429396335365,3.1888689739011894e-05,1.4363139888217585e-05,3.7464555436523245e-05,0.304190996122522,55.5312,34.1893
2552.9286,2.4785,4.541086553288488,2.4893825547206796,3.063120255410987e-05,1.535932771103857e-05,3.947931205020782e-05,0.2851901070459781,56.7562,34.6426
2553.0048,2.454,4.541086553288488,2.4893825547206796,3.0328412776996416e-05,1.5207500586196749e-05,3.908905861255195e-05,0.2851901070459781,58.4467,35.9665
2553.081,2.4299,4.534371517958224,2.589766683093446,2.823058573039698e-05,1.6297075589904527e-05,4.100140374268341e-05,0.2579374598987061,60.2401,38.2716
2553.1572,2.4091,4.534371517958224,2.589766683093446,2.7988931265936613e-05,1.6157572247269022e-05,4.065043078171884e-05,0.2579374598987061,62.1095,41.3431
2553.2334,2.3965,4.516545850053048,2.6771221990345495,2.5985749707577184e-05,1.7175675403112626e-05,4.2224132588961065e-05,0.22918405238693232,63.5476,44.6117
2553.3096,2.3974,4.516545850053048,2.6771221990345495,2.5995508595428977e-05,1.7182125688054334e-05,4.223998976372847e-05,0.22918405238693226,64.567,47.1131
2553.3858,2.4167,4.501165163817012,2.72542423803469,2.5028726252869202e-05,1.7951096017971092e-05,4.346255437151809e-05,0.21058219308746148,64.8699,47.879
2553.462,2.4567,4.501165163817012,2.72542423803469,2.5442989111360025e-05,1.824821350906177e-05,4.4181924659456475e-05,0.2105821930874616,64.8778,46.7374
2553.5382,2.5146,4.482755070675458,2.6863311749261656,2.6336058209180365e-05,1.8146297031098636e-05,4.4270915590392445e-05,0.21983332231700337,64.5472,44.4265
2553.6144,2.5804,4.482755070675458,2.6863311749261656,2.70251986808912e-05,1.862113451803345e-05,4.542936076888915e-05,0.21983332231700334,64.1911,41.8769
2553.6906,2.6354,4.482755070675458,2.6863311749261656,2.7601227950558313e-05,1.9018035153009362e-05,4.639766600927394e-05,0.21983332231700334,63.602,39.8155
2553.7668,2.6592,4.4671122054168135,2.607057873605592,2.896601971758068e-05,1.807391961122984e-05,4.4885936818339e-05,0.24173222477016257,63.1162,38.6345
2553.843,2.6431,4.4431292574522265,2.5133003723774436,2.991766981201296e-05,1.669561363529401e-05,4.223112121830397e-05,0.2647370183815433,62.6867,38.4605
2553.9192,2.5978,4.4431292574522265,2.5133003723774436,2.9404911898016447e-05,1.6409468087384806e-05,4.1507323484132284e-05,0.26473701838154334,62.8065,39.278
2553.9954,2.545,4.409581870947394,2.4260504328764854,2.9513816992210714e-05,1.4979159188779161e-05,3.843514311397286e-05,0.28295395721425065,63.2356,40.9252
2554.0716,2.5028,4.409581870947394,2.4260504328764854,2.902443267901964e-05,1.4730781775118464e-05,3.7797829542495585e-05,0.28295395721425065,63.9633,43.0082
2555.0622,2.8176,4.1767728674203495,2.269461300770634,2.9805020211657604e-05,1.4511920868831746e-05,3.745661422012e-05,0.2905463914349255,59.0324,59.3298
2555.1384,2.7624,4.1767728674203495,2.269461300770634,2.922110584635256e-05,1.4227615775149352e-05,3.672279639468323e-05,0.2905463914349255,58.6395,58.5235
2555.2146,2.72,4.154411063163949,2.2940492452894095,2.785891645127531e-05,1.4314440476291113e-05,3.6663802102214554e-05,0.28065788400673075,58.0658,56.3727
2555.2908,2.7011,4.154411063163949,2.2940492452894095,2.7665337950933727e-05,1.4214976165628648e-05,3.640904259496019e-05,0.2806578840067308,57.4867,53.8784
2556.2052,-1.458,4.3020283612066565,3.0358656450168677,-9.067021676903218e-06,-1.3437628152877588e-05,-2.698298852231842e-05,0.0040086023864327625,57.9619,32.1201
2556.2814,-1.4529,4.298054876346315,2.055732749346961,-1.865314315242243e-05,-6.140009355966081e-06,-1.6598769344221152e-05,0.351689255008429,57.6406,31.0898
2556.3576,-1.447,4.298054876346315,2.055732749346961,-1.85773956511496e-05,-6.115075736859329e-06,-1.6531364334151012e-05,0.351689255008429,57.1808,30.1313
2556.4338,4.8933,4.276610253201144,2.0066083775899766,6.322515009511055e-05,1.9702760789857167e-05,5.354611645819696e-05,0.3588480576225159,56.3647,29.3797
2556.51,3.9946,4.276610253201144,2.0066083775899766,5.161326396704241e-05,1.6084165747279637e-05,4.371187476833908e-05,0.358848057622516,55.5011,28.9912
2556.5862,3.6124,4.2754164954209,1.8737931462695963,4.9120398439354566e-05,1.2683500367386971e-05,3.503500881957356e-05,0.38112539144394775,54.523,29.1136
2556.6624,3.3798,4.2754164954209,1.8737931462695963,4.5957569107886875e-05,1.1866818331772362e-05,3.277912822732663e-05,0.38112539144394775,53.7722,29.7928
2556.7386,3.2321,4.259696119316213,1.9251247730967602,4.267515249662641e-05,1.1978503237453636e-05,3.286092798486679e-05,0.3716625246683281,53.1653,30.8401
2556.8148,3.1397,4.259696119316213,1.9251247730967602,4.14551456618477e-05,1.163605909923368e-05,3.192149240248948e-05,0.37166252466832805,53.0207,31.8281
2556.891,3.0822,4.263449869494792,1.9661357627065073,4.01387252070461e-05,1.1914829216814242e-05,3.252612271533867e-05,0.36494288434439814,53.2058,32.2424
